file	keywords	title
ICASSP/2001/pap1581.txt	spoken dialog	FROM BROADCAST NEWS TO SPONTANEOUS DIALOGUE TRANSCRIPTION:
ICASSP/2001/pap1598.txt	spoken dialog	Over-complete Blind source separation by applying sparse decomposition and information the
ICASSP/2001/pap1998.txt	spoken dialog	DATA AUGMENTATION AND LANGUAGE MODEL ADAPTATION
ICASSP/2001/pap2004.txt	spoken dialog	USING SEMANTIC CLASS INFORMATION FOR RAPID DEVELOPMENT OF
ICASSP/2001/pap2289.txt	spoken dialog	ON-LINE LEARNING OF LANGUAGE MODELS WITH
ICASSP/2001/pap2311.txt	spoken dialog	MULTIPLE-REGRESSION HIDDEN MARKOV MODEL
ICASSP/2001/pap2385.txt	spoken dialog	TOWARDS TASK-INDEPENDENT SPEECH RECOGNITION
ICASSP/2001/pap284.txt	spoken dialog	TOPIC FOREST: A PLAN-BASED DIALOG MANAGEMENT STRUCTURE
ICASSP/2001/pap662.txt	spoken dialog	A Dynamic Semantic Model for Re-scoring Recognition Hypotheses
ICASSP/2001/pap686.txt	spoken dialog	CONFIDENCE MEASURES FOR SPOKEN DIALOGUE SYSTEMS
ICASSP/2002/1503.txt	spoken dialog	ASR SYSTEM MODELING FOR AUTOMATIC EVALUATION AND
ICASSP/2002/1971.txt	spoken dialog	PROBABILISTIC INTEGRATION OF MULTIPLE CONFIDENCE MEASURES AND
ICASSP/2002/2033.txt	backchannel	IMPLEMENTATION OF AUTOMATIC CAPITALISATION
ICASSP/2002/2148.txt	spoken dialog	COMBINING PRIOR KNOWLEDGE AND BOOSTING FOR CALL CLASSIFICATION IN
ICASSP/2002/2337.txt	spoken dialog	ACTIVE LEARNING FOR AUTOMATIC SPEECH RECOGNITION
ICASSP/2002/2919.txt	spoken dialog	AUDIO-VISUAL SPEECH TRANSLATION WITH AUTOMATIC LIP SYNCHRONIZATION
ICASSP/2002/3010.txt	spoken dialog	TURN{BASED LANGUAGE MODELING FOR SPOKEN DIALOG SYSTEMS
ICASSP/2002/3015.txt	spoken dialog	ESTIMATING SEMANTIC CONFIDENCE FOR SPOKEN DIALOGUE
ICASSP/2002/3067.txt	spoken dialog	ADAPTIVE LANGUAGE MODELS FOR SPOKEN DIALOGUE SYSTEMS
ICASSP/2002/3090.txt	backchannel	TEXT NORMALIZATION WITH VARIED DATA SOURCES
ICASSP/2002/3120.txt	spoken dialog	AUTOMATIC ESTIMATION OF ONE’S AGE WITH HIS/HER SPEECH
ICASSP/2002/3314.txt	spoken dialog	PHONE BASED VOICE ACTIVITY DETECTION USING ONLINE BAYESIAN
ICASSP/2003/01-00016.txt	spoken dialog	➠
ICASSP/2003/01-00264.txt	spoken dialog	➠
ICASSP/2003/01-00276.txt	spoken dialog	➠
ICASSP/2003/01-00328.txt	spoken dialog	➠
ICASSP/2003/01-00468.txt	spoken dialog	➠
ICASSP/2003/01-00624.txt	spoken dialog	➠
ICASSP/2003/01-00736.txt	spoken dialog	➠
ICASSP/2003/04-00740.txt	backchannel	➠
ICASSP/2003/04-00744.txt	spoken dialog	➠
ICASSP/2003/04-00792.txt	turn-taking	➠
ICASSP/2004/0100381.txt	spoken dialog	➠
ICASSP/2004/0100425.txt	spoken dialog	➠
ICASSP/2004/0100433.txt	spoken dialog	➠
ICASSP/2004/0100441.txt	spoken dialog	➠
ICASSP/2004/0100453.txt	spoken dialog	➠
ICASSP/2004/0100605.txt	turn-taking	➠
ICASSP/2004/0100757.txt	spoken dialog	➠
ICASSP/2004/0100781.txt	spoken dialog	➠
ICASSP/2004/0100793.txt	spoken dialog	➠
ICASSP/2004/0500293.txt	spoken dialog	➠
ICASSP/2005/0100025.txt	spoken dialog	➠
ICASSP/2005/0100037.txt	spoken dialog	➠
ICASSP/2005/0100041.txt	spoken dialog	➠
ICASSP/2005/0100085.txt	spoken dialog	➠
ICASSP/2005/0100093.txt	spoken dialog	➠
ICASSP/2005/0100265.txt	spoken dialog	➠
ICASSP/2005/0100357.txt	spoken dialog	➠
ICASSP/2005/0100489.txt	turn-taking	➠
ICASSP/2005/0100565.txt	spoken dialog	➠
ICASSP/2005/0100573.txt	spoken dialog	➠
ICASSP/2005/0100593.txt	spoken dialog	➠
ICASSP/2005/0100605.txt	spoken dialog	➠
ICASSP/2005/0101033.txt	spoken dialog	➠
ICASSP/2005/0101041.txt	spoken dialog	➠
ICASSP/2005/0101045.txt	spoken dialog	➠
ICASSP/2005/0101061.txt	backchannel	➠
ICASSP/2005/0500957.txt	backchannel	➠
ICASSP/2005/0501017.txt	spoken dialog	➠
ICASSP/2006/0100049.txt	turn-taking,spoken dialog	DYNAMIC BAYESIAN NETWORKS FOR NLU SIMULATION WITH APPLICATIONS TO
ICASSP/2006/0100053.txt	spoken dialog	TOWARDS LEARNING TO CONVERSE: STRUCTURING TASK-ORIENTED
ICASSP/2006/0100057.txt	spoken dialog	DIALOG DESIGN FOR USER ADAPTATION
ICASSP/2006/0100065.txt	spoken dialog	OPEN MICROPHONE SPEECH UNDERSTANDING:
ICASSP/2006/0100069.txt	spoken dialog	A SITUATION-BASED DIALOGUE MANAGEMENT USING DIALOGUE EXAMPLES
ICASSP/2006/0100185.txt	spoken dialog	POCKETSPHINX: A FREE, REAL-TIME CONTINUOUS SPEECH RECOGNITION SYSTEM
ICASSP/2006/0100357.txt	backchannel	SPEAKER OVERLAPS AND ASR ERRORS IN MEETINGS:
ICASSP/2006/0100425.txt	spoken dialog	Stress Level Classification of Speech Using Euclidean Distance Metrics
ICASSP/2006/0100549.txt	backchannel	DISCRIMINATIVELY TRAINED GAUSSIAN MIXTURE MODELS
ICASSP/2006/0100573.txt	spoken dialog	WEBTALK: TOWARDS AUTOMATICALLY BUILDING SPOKEN DIALOG SYSTEMS
ICASSP/2006/0100581.txt	backchannel	JOINT SEGMENTATION AND CLASSIFICATION
ICASSP/2006/0100585.txt	spoken dialog	MULTITASK LEARNING FOR SPOKEN LANGUAGE UNDERSTANDING
ICASSP/2006/0100809.txt	spoken dialog	DOUBLE-TALK FREE SPOKEN DIALOGUE INTERFACE
ICASSP/2006/0100993.txt	turn-taking	UNSUPERVISED LEARNING OF OVERLAPPED SPEECH MODEL PARAMETERS
ICASSP/2006/0101065.txt	spoken dialog	BOOTSTRAPPING LANGUAGE MODELS FOR SPOKEN DIALOG SYSTEMS
ICASSP/2007/0200685.txt	turn-taking	REAL-TIME MONITORING OF PARTICIPANTS’ INTERACTION IN A MEETING USING
ICASSP/2007/0400009.txt	spoken dialog	SPOKEN LANGUAGE UNDERSTANDING STRATEGIES ON THE FRANCE TELECOM 3000
ICASSP/2007/0400013.txt	spoken dialog	DYNAMIC BAYESIAN NETWORKS AND DISCRIMINATIVE CLASSIFIERS
ICASSP/2007/0400133.txt	backchannel	DBN BASED JOINT DIALOGUE ACT RECOGNITION OF MULTIPARTY MEETINGS
ICASSP/2007/0400145.txt	spoken dialog	SPEECH-BASED INTERACTIVE INFORMATION GUIDANCE SYSTEM
ICASSP/2007/0400149.txt	spoken dialog	THE HIDDEN INFORMATION STATE APPROACH TO DIALOG MANAGEMENT
ICASSP/2007/0400153.txt	backchannel	CONFIDENCE MEASURES FOR SEMI-AUTOMATIC LABELING OF DIALOG ACTS
ICASSP/2007/0400157.txt	spoken dialog	INSIGHTS GAINED FROM DEVELOPMENT AND LONG-TERM OPERATION OF A
ICASSP/2007/0400165.txt	turn-taking,spoken dialog	LEARNING TO GROUND IN SPOKEN DIALOGUE SYSTEMS
ICASSP/2008/0002197.txt	turn-taking	ESTIMATING THE DOMINANT PERSON IN MULTI-PARTY CONVERSATIONS USING
ICASSP/2008/0004313.txt	spoken dialog	A TURBO-STYLE ALGORITHM FOR LEXICAL BASEFORMS ESTIMATION
ICASSP/2008/0004937.txt	spoken dialog	BAYESIAN UPDATE OF DIALOGUE STATE FOR ROBUST DIALOGUE SYSTEMS
ICASSP/2008/0004941.txt	backchannel	EXPLOITING DIALOGUE ACT TAGGING AND PROSODIC INFORMATION
ICASSP/2008/0004953.txt	spoken dialog	OPTIMIZING SPEECH RECOGNITION GRAMMARS USING A MEASURE OF SIMILARITY
ICASSP/2008/0004989.txt	spoken dialog	LEARNING WITH NOISY SUPERVISION FOR SPOKEN LANGUAGE UNDERSTANDING
ICASSP/2008/0004993.txt	spoken dialog	EXTENSION OF HVS SEMANTIC PARSER BY ALLOWING LEFT-RIGHT BRANCHING
ICASSP/2008/0005001.txt	spoken dialog	IMPROVING SPOKEN LANGUAGE UNDERSTANDING
ICASSP/2008/0005021.txt	spoken dialog	ACCURATE STATISTICAL SPOKEN LANGUAGE UNDERSTANDING FROM LIMITED
ICASSP/2008/0005037.txt	spoken dialog	WHERE DO THE WORDS COME FROM?
ICASSP/2008/0005041.txt	spoken dialog	AN INSTANTANEOUS VECTOR REPRESENTATION OF DELTA PITCH FOR
ICASSP/2008/0005045.txt	spoken dialog	USING DIALOGUE ACTS TO LEARN BETTER REPAIR STRATEGIES FOR SPOKEN
ICASSP/2008/0005053.txt	backchannel	EXTRACTING QUESTION/ANSWER PAIRS IN MULTI-PARTY MEETINGS
ICASSP/2008/0005113.txt	spoken dialog	NAME-AWARE SPEECH RECOGNITION FOR INTERACTIVE QUESTION ANSWERING
ICASSP/2009/0001949.txt	backchannel	YOU ARE FIRED! NONVERBAL ROLE ANALYSIS IN COMPETITIVE MEETINGS
ICASSP/2009/0003681.txt	spoken dialog	SOURCE ADAPTIVE BLIND SIGNAL EXTRACTION USING CLOSED-FORM ICA FOR
ICASSP/2009/0003721.txt	backchannel	CO-ADAPTATION: ADAPTIVE CO-TRAINING FOR SEMI-SUPERVISED LEARNING
ICASSP/2009/0003941.txt	spoken dialog	VOICE SEARCH OF STRUCTURED MEDIA DATA
ICASSP/2009/0004305.txt	spoken dialog	THE USE OF ACOUSTICALLY DETECTED FILLED AND SILENT PAUSES IN
ICASSP/2009/0004641.txt	backchannel,turn-taking	CONVERSATION DETECTION IN AMBIENT TELEPHONY
ICASSP/2009/0004713.txt	spoken dialog	FROM RULE-BASED TO STATISTICAL GRAMMARS:
ICASSP/2009/0004721.txt	spoken dialog	MAXIMIZING GLOBAL ENTROPY REDUCTION FOR ACTIVE LEARNING IN SPEECH
ICASSP/2009/0004745.txt	turn-taking	SOCIAL CORRELATES OF TURN-TAKING BEHAVIOR
ICASSP/2009/0004749.txt	spoken dialog	SPOKEN LANGUAGE UNDERSTANDING FROM UNALIGNED DATA USING
ICASSP/2009/0004753.txt	backchannel	TOWARDS AUTOMATIC ARGUMENT DIAGRAMMING OF MULTIPARTY MEETINGS
ICASSP/2009/0004773.txt	spoken dialog	SPOKEN LANGUAGE INTERPRETATION:
ICASSP/2009/0004789.txt	spoken dialog	A BAYESIAN NETWORKS APPROACH FOR DIALOG MODELING: THE FUSION BN
ICASSP/2009/0004797.txt	spoken dialog	SPOKEN DIALOG STRATEGY BASED ON UNDERSTANDING GRAPH SEARCH
ICASSP/2010/0004238.txt	spoken dialog	WORD-LEVEL EMPHASIS MODELLING IN HMM-BASED SPEECH SYNTHESIS
ICASSP/2010/0004450.txt	spoken dialog	SEMANTIC CONFIDENCE CALIBRATION FOR SPOKEN DIALOG APPLICATIONS
ICASSP/2010/0004454.txt	spoken dialog	DISCRIMINATIVE CONFIDENCE AND ERROR CAUSE ESTIMATION
ICASSP/2010/0004486.txt	spoken dialog	INTEGRATION OF SPORADIC NOISE MODEL IN POMDP-BASED VOICE ACTIVITY
ICASSP/2010/0004630.txt	spoken dialog	A HMM-BASED SPEECH SYNTHESIS SYSTEM USING
ICASSP/2010/0004934.txt	spoken dialog	SEARCH ERROR RISK MINIMIZATION IN VITERBI BEAM SEARCH FOR SPEECH
ICASSP/2010/0005110.txt	spoken dialog	JOINTLY RECOGNIZING MULTI-SPEAKER CONVERSATIONS
ICASSP/2010/0005250.txt	turn-taking,spoken dialog	PREDICTING INTERRUPTIONS IN DYADIC SPOKEN INTERACTIONS
ICASSP/2010/0005366.txt	spoken dialog	THE LUNA SPOKEN DIALOGUE SYSTEM: BEYOND UTTERANCE CLASSIFICATION
ICASSP/2010/0005370.txt	spoken dialog	OPTIMIZE THE OBVIOUS: AUTOMATIC CALL FLOW GENERATION
ICASSP/2010/0005374.txt	backchannel	COMPARING THE CONTRIBUTIONS OF CONTEXT AND PROSODY
ICASSP/2010/0005382.txt	spoken dialog	INCREMENTAL PARTITION RECOMBINATION FOR EFFICIENT TRACKING OF
ICASSP/2010/0005430.txt	turn-taking	RANDOM ATTRIBUTED GRAPHS
ICASSP/2011/0001781.txt	spoken dialog	REAL-LIFE SPEECH-ENABLED SYSTEM TO ENHANCE INTERACTION WITH RFID
ICASSP/2011/0002156.txt	spoken dialog	BAYESIAN REINFORCEMENT LEARNING FOR POMDP-BASED DIALOGUE SYSTEMS
ICASSP/2011/0004812.txt	backchannel	CROSS-CHANNEL SPECTRAL SUBTRACTION FOR MEETING SPEECH RECOGNITION
ICASSP/2011/0005108.txt	spoken dialog	AN ANALYSIS OF MACHINE TRANSLATION AND SPEECH SYNTHESIS IN
ICASSP/2011/0005180.txt	spoken dialog	WHOLE WORD DISCRIMINATIVE POINT PROCESS MODELS
ICASSP/2011/0005216.txt	backchannel	OVERLAPPED SPEECH DETECTION USING LONG-TERM SPECTRO-TEMPORAL
ICASSP/2011/0005256.txt	spoken dialog	SYLLABIFICATION OF CONVERSATIONAL SPEECH USING BIDIRECTIONAL
ICASSP/2011/0005588.txt	spoken dialog	ROUND-ROBIN DUEL DISCRIMINATIVE LANGUAGE MODELS
ICASSP/2011/0005600.txt	turn-taking,spoken dialog	A SINGLE-PORT NON-PARAMETRIC MODEL OF
ICASSP/2011/0005612.txt	spoken dialog	COMBINATION OF STOCHASTIC UNDERSTANDING AND MACHINE
ICASSP/2011/0005696.txt	backchannel	EXPERIMENTS IN CONTEXT-INDEPENDENT RECOGNITION OF
ICASSP/2011/0005720.txt	spoken dialog	GENERATING AVATAR’S FACIAL EXPRESSIONS FROM EMOTIONAL STATES IN DAILY
ICASSP/2011/0005836.txt	backchannel,turn-taking,spoken dialog	ONLINE DETECTION OF VOCAL LISTENER RESPONSES
ICASSP/2012/0002189.txt	turn-taking	TRANSFER CROSS ENTROPY FOR FAST SOCIOMETRIC INFERENCE
ICASSP/2012/0002265.txt	spoken dialog	Classification of Emotional Content of Sighs in Dyadic Human Interactions
ICASSP/2012/0004393.txt	spoken dialog	MULTILEVEL SPEECH INTELLIGIBILITY FOR ROBUST SPEAKER RECOGNITION
ICASSP/2012/0004937.txt	backchannel,turn-taking	CORPUS-INDEPENDENT HISTORY COMPRESSION
ICASSP/2012/0004941.txt	turn-taking	ProfLifeLog: ENVIRONMENTAL ANALYSIS AND KEYWORD RECOGNITION FOR
ICASSP/2012/0004953.txt	spoken dialog	TRANSLATING NATURAL LANGUAGE UTTERANCES TO SEARCH QUERIES FOR SLU
ICASSP/2012/0004961.txt	spoken dialog	A BOOTSTRAPPING APPROACH FOR SLU PORTABILITY TO A NEW LANGUAGE
ICASSP/2012/0004977.txt	spoken dialog	IMPROVING NONNATIVE SPEECH UNDERSTANDING
ICASSP/2012/0004981.txt	spoken dialog	CLUSTERING BEHAVIORS OF SPOKEN DIALOGUE SYSTEMS USERS
ICASSP/2012/0004989.txt	spoken dialog	OFF-POLICY LEARNING IN LARGE-SCALE POMDP-BASED DIALOGUE SYSTEMS
ICASSP/2012/0004993.txt	spoken dialog	CACHE NEURAL NETWORK LANGUAGE MODELS BASED ON LONG-DISTANCE
ICASSP/2012/0005045.txt	spoken dialog	TOWARDS DEEPER UNDERSTANDING:
ICASSP/2012/0005057.txt	turn-taking	AUTOMATIC SPEAKER ROLE LABELING IN AMI MEETINGS: RECOGNITION OF
ICASSP/2012/0005061.txt	spoken dialog	UNSUPERVISED MODELING OF USER ACTIONS IN A DIALOG CORPUS
ICASSP/2012/0005089.txt	turn-taking	AUTOMATIC DETECTION OF CONFLICTS IN SPOKEN CONVERSATIONS:
ICASSP/2012/0005105.txt	backchannel	DETECTING LEADERSHIP AND COHESION IN SPOKEN INTERACTIONS
ICASSP/2012/0005129.txt	backchannel	DETECTING TARGETS OF ALIGNMENT MOVES IN MULTIPARTY DISCUSSIONS
ICASSP/2012/0005217.txt	backchannel	NETWORK LOCALIZATION FOR DISTRIBUTED TRANSMIT BEAM
ICASSP/2013/0003213.txt	spoken dialog	JACHMM: A JAVA-BASED CONDITIONED HIDDEN MARKOV MODEL LIBRARY
ICASSP/2013/0003702.txt	turn-taking	USING PHYSIOLOGY AND LANGUAGE CUES FOR MODELING VERBAL RESPONSE
ICASSP/2013/0003756.txt	backchannel	SPEECH-DRIVEN EYEBROW MOTION SYNTHESIS WITH CONTEXTUAL MARKOVIAN
ICASSP/2013/0006699.txt	spoken dialog	SYLL-O-MATIC:
ICASSP/2013/0006832.txt	spoken dialog	DISCRIMINATIVE RECOGNITION RATE ESTIMATION FOR N-BEST LIST
ICASSP/2013/0006895.txt	spoken dialog	SPEAKER’S INTENTIONS CONVEYED TO LISTENERS
ICASSP/2013/0007418.txt	spoken dialog	ASR ERROR DETECTION IN A CONVERSATIONAL
ICASSP/2013/0007746.txt	backchannel	IMPROVED OVERLAP SPEECH DIARIZATION OF MEETING RECORDINGS USING
ICASSP/2013/0007835.txt	backchannel	EVALUATION OF HMM-BASED LAUGHTER SYNTHESIS
ICASSP/2013/0007992.txt	spoken dialog	BOOTSTRAPPING TEXT-TO-SPEECH FOR SPEECH PROCESSING
ICASSP/2013/0008213.txt	spoken dialog	A DIALOGUE GAME FRAMEWORK WITH PERSONALIZED TRAINING USING
ICASSP/2013/0008252.txt	spoken dialog	INCORPORATING SEMANTIC INFORMATION TO SELECTION OF WEB TEXTS
ICASSP/2013/0008307.txt	spoken dialog	LATENT SEMANTIC MODELING FOR SLOT FILLING IN
ICASSP/2013/0008317.txt	spoken dialog	AN EMPIRICAL INVESTIGATION OF SPARSE LOG-LINEAR MODELS
ICASSP/2013/0008322.txt	spoken dialog	HIERARCHICAL DISCRIMINATIVE MODEL
ICASSP/2013/0008327.txt	spoken dialog	USING A KNOWLEDGE GRAPH AND QUERY CLICK LOGS FOR UNSUPERVISED
ICASSP/2013/0008332.txt	spoken dialog	A GRAPH-BASED CROSS-LINGUAL PROJECTION APPROACH FOR
ICASSP/2013/0008362.txt	backchannel,turn-taking,spoken dialog	CONTINUOUS ASR FOR FLEXIBLE INCREMENTAL DIALOGUE
ICASSP/2013/0008367.txt	spoken dialog	ON-LINE POLICY OPTIMISATION OF BAYESIAN SPOKEN DIALOGUE SYSTEMS VIA
ICASSP/2013/0008372.txt	spoken dialog	AUTOMATED TWO-WAY ENTRAINMENT TO IMPROVE SPOKEN DIALOG SYSTEM
ICASSP/2013/0008377.txt	spoken dialog	UNDERSTANDING COMPUTER-DIRECTED UTTERANCES IN MULTI-USER DIALOG
ICASSP/2013/0008382.txt	spoken dialog	MMDAGENT — A FULLY OPEN-SOURCE TOOLKIT
ICASSP/2013/0008386.txt	spoken dialog	ASGARD: A PORTABLE ARCHITECTURE FOR MULTILINGUAL DIALOGUE SYSTEMS
ICASSP/2013/0008391.txt	spoken dialog	“CAN YOU GIVE ME ANOTHER WORD FOR HYPERBARIC?”:
ICASSP/2013/0008460.txt	turn-taking,spoken dialog	CROSS-LANGUAGE PHRASE BOUNDARY DETECTION
ICASSP/2013/0008495.txt	spoken dialog	INTERACTION STYLE DETECTION BASED ON FUSED CROSS-CORRELATION MODEL
ICASSP/2013/0008604.txt	spoken dialog	RECENT ADVANCES IN DEEP LEARNING FOR SPEECH RESEARCH AT MICROSOFT
ICASSP/2014/p131-kim.txt	spoken dialog	2014 IEEE International Conference on Acoustic, Speech and Signal Processing (ICASSP)
ICASSP/2014/p2331-tam.txt	spoken dialog	2014 IEEE International Conference on Acoustic, Speech and Signal Processing (ICASSP)
ICASSP/2014/p255-bollepalli.txt	backchannel	2014 IEEE International Conference on Acoustic, Speech and Signal Processing (ICASSP)
ICASSP/2014/p2573-tsiakoulis.txt	backchannel,spoken dialog	2014 IEEE International Conference on Acoustic, Speech and Signal Processing (ICASSP)
ICASSP/2014/p2902-adami.txt	backchannel	2014 IEEE International Conference on Acoustic, Speech and Signal Processing (ICASSP)
ICASSP/2014/p3225-gaspers.txt	spoken dialog	2014 IEEE International Conference on Acoustic, Speech and Signal Processing (ICASSP)
ICASSP/2014/p3235-palogiannidi.txt	spoken dialog	2014 IEEE International Conference on Acoustic, Speech and Signal Processing (ICASSP)
ICASSP/2014/p3245-el_asri.txt	spoken dialog	2014 IEEE International Conference on Acoustic, Speech and Signal Processing (ICASSP)
ICASSP/2014/p3847-baumann.txt	spoken dialog	2014 IEEE International Conference on Acoustic, Speech and Signal Processing (ICASSP)
ICASSP/2014/p4100-ji.txt	spoken dialog	2014 IEEE International Conference on Acoustic, Speech and Signal Processing (ICASSP)
ICASSP/2014/p4110-wang.txt	spoken dialog	2014 IEEE International Conference on Acoustic, Speech and Signal Processing (ICASSP)
ICASSP/2014/p4120-tang.txt	spoken dialog	2014 IEEE International Conference on Acoustic, Speech and Signal Processing (ICASSP)
ICASSP/2014/p4876-yella.txt	turn-taking	2014 IEEE International Conference on Acoustic, Speech and Signal Processing (ICASSP)
ICASSP/2014/p5795-brown.txt	response timing	2014 IEEE International Conference on Acoustic, Speech and Signal Processing (ICASSP)
ICASSP/2014/p694-ishii.txt	turn-taking	2014 IEEE International Conference on Acoustic, Speech and Signal Processing (ICASSP)
ICASSP/2015/0002234.txt	backchannel	MODELING MUTUAL INFLUENCE OF MULTIMODAL BEHAVIOR IN AFFECTIVE
ICASSP/2015/0002319.txt	turn-taking	PREDICTING NEXT SPEAKER BASED ON HEAD MOVEMENT
ICASSP/2015/0004480.txt	spoken dialog	A MULTI-CHANNEL CORPUS FOR DISTANT-SPEECH INTERACTION
ICASSP/2015/0004719.txt	turn-taking	PROF-LIFE-LOG: ANALYSIS AND CLASSIFICATION OF ACTIVITIES
ICASSP/2015/0005241.txt	spoken dialog	LOCALIZED ERROR DETECTION FOR TARGETED CLARIFICATION
ICASSP/2015/0005266.txt	spoken dialog	WORD-SEMANTIC LATTICES FOR SPOKEN LANGUAGE UNDERSTANDING
ICASSP/2015/0005271.txt	spoken dialog	CONTEXTUAL SPOKEN LANGUAGE UNDERSTANDING USING
ICASSP/2015/0005316.txt	turn-taking,spoken dialog	ANNOTATING AND CATEGORIZING COMPETITION IN OVERLAP SPEECH
ICASSP/2015/0005346.txt	spoken dialog	KNOWLEDGE GRAPH INFERENCE FOR SPOKEN DIALOG SYSTEMS
ICASSP/2015/0005371.txt	spoken dialog	DISTRIBUTED DIALOGUE POLICIES FOR MULTI-DOMAIN STATISTICAL DIALOGUE
ICASSP/2015/0005376.txt	backchannel,turn-taking	AN INFORMATION-THEORETIC FRAMEWORK FOR AUTOMATED DISCOVERY
ICASSP/2016/0006045.txt	spoken dialog	ZERO-SHOT LEARNING OF INTENT EMBEDDINGS FOR EXPANSION
ICASSP/2016/0006085.txt	backchannel	A MULTIMODAL ANALYSIS OF SYNCHRONY DURING DYADIC INTERACTION USING A
ICASSP/2016/0006095.txt	spoken dialog	DISCOURSE CONNECTIVE DETECTION IN SPOKEN CONVERSATIONS
ICASSP/2016/0006125.txt	spoken dialog	QUESTION DETECTION FROM ACOUSTIC FEATURES USING RECURRENT NEURAL
ICASSP/2016/0006150.txt	spoken dialog	UNSUPERVISED USER INTENT MODELING
ICASSP/2017/0001193.txt	response timing	A SOFTWARE-DEFINED RADIO IMPLEMENTATION OF
